72,Central College ,Iowa,Athletics - Central College,http://www.central.edu/athletics/
73,Coe College ,Iowa,Coe College Athletics,http://www.coeathletics.com/
74,Cornell College ,Iowa,Cornell College Athletics,http://www.cornellrams.com/
75,University of Dubuque ,Iowa,UD Athletics - Home of the Spartans - University of Dubuque,http://www.dbq.edu/udathletics/
76,Grinnell College ,Iowa,Athletics - Athletics | Grinnell College,http://www.grinnell.edu/athletics
77,Loras College ,Iowa,Loras College Athletics,http://www.duhawks.com/
78,Luther College ,Iowa,Luther College Athletics,http://sports.luther.edu/
79,Simpson College ,Iowa,Simpson College Athletics,http://www.simpson.edu/storm/
80,Wartburg College ,Iowa,Wartburg College Athletics,http://www.go-knights.net/
81,Centre College ,Kentucky,Centre College Athletics,http://www.centre.edu/web/athletics/
82,Spalding University ,Kentucky,Spalding University Athletics,http://spaldingathletics.com/
83,Thomas More College ,Kentucky,Thomas More Athletics - Thomas More College,http://www.thomasmore.edu/athletics/
85,Centenary College ,Louisiana,Centenary College: Cyclone Athletics,http://www.centenarycollege.edu/cms/en/athletics/
86,Louisiana College ,Louisiana,Louisiana College Athletics,http://www.lcwildcats.net/
87,Bates College ,Maine,Bates College | Athletics,http://www.bates.edu/sports.xml
88,Bowdoin College ,Maine,Bowdoin College Athletics,http://athletics.bowdoin.edu/
89,Colby College ,Maine,Colby College | Athletics | Home of the Mules,http://www.colby.edu/athletics_cs/
90,Husson University ,Maine,Husson University Athletics,http://athletics.husson.edu/
91,University of Maine at Farmington ,Maine,University of Maine at Farmington Athletics - University of Maine at ...,http://athletics.umf.maine.edu/
92,University of Maine at Presque Isle ,Maine,University of Maine at Presque Isle Athletics,http://owls.umpi.edu/
93,Maine Maritime Academy ,Maine,Mariner Athletics,http://www.marinersports.org/
94,University of New England ,Maine,University of New England Athletics,http://athletics.une.edu/
95,Saint Joseph's College of Maine ,Maine,Saint Joseph's College of Maine,http://www.gomonks.com/
97,Thomas College ,Maine,Thomas College Athletics,http://athletics.thomas.edu/
98,Frostburg State University ,Maryland,Frostburg State University Athletics,http://www.frostburgsports.com/
99,Goucher College ,Maryland,Goucher College Athletics Website,http://athletics.goucher.edu/
100,Hood College ,Maryland,Hood College Athletics - Home of the Blazers,http://www.hoodathletics.com/
101,Johns Hopkins University ,Maryland,Johns Hopkins Official Athletic Site,http://www.hopkinssports.com/
102,McDaniel College ,Maryland,McDaniel Athletics,http://www.mcdanielathletics.com/
103,College of Notre Dame of Maryland ,Maryland,Athletics Notre Dame of Maryland University,http://www.ndm.edu/athletics/
105,Salisbury University ,Maryland,SUSeaGulls.com: Official Site of Salisbury University Athletics,http://www.suseagulls.com/
106,Stevenson University ,Maryland,Stevenson University Athletics,http://www.gomustangsports.com/
107,Washington College ,Maryland,Washington College Athletics,http://washingtoncollegesports.com/
108,Amherst College ,Massachusetts,Athletics | Amherst College,https://www.amherst.edu/athletics
109,Anna Maria College ,Massachusetts,Athletics - Anna Maria College,http://www.annamaria.edu/athletics/
110,Babson College ,Massachusetts,Babson College Athletics,http://www.babsonathletics.com/
111,Bay Path College ,Massachusetts,Bay Path College Athletics,http://athletics.baypath.edu/
112,Becker College ,Massachusetts,Becker College Athletics,http://www.beckerhawks.com/
113,Brandeis University ,Massachusetts,Brandeis Athletics,http://www.brandeisjudges.com/
115,Clark University ,Massachusetts,Clark Athletics,http://www.clarkathletics.com/
116,Curry College ,Massachusetts,Curry College Athletics,http://www.curryathletics.com/
117,Eastern Nazarene College ,Massachusetts,Eastern Nazarene College: Athletics,http://www1.enc.edu/athletics/
118,Elms College ,Massachusetts,Elms College Athletics,http://athletics.elms.edu/
119,Emerson College ,Massachusetts,Athletics & Fitness | Emerson College,http://www.emerson.edu/student-life/athletics-fitness
120,Emmanuel College ,Massachusetts,"Official Athletic Site of Emmanuel College, Boston",http://www.goecsaints.com/
121,Endicott College ,Massachusetts,Official Athletic Site of Endicott,http://www.ecgulls.com/
122,Fitchburg State University ,Massachusetts,Fitchburg State University Falcons,http://www.fscfalcons.com/
123,Framingham State University ,Massachusetts,Framingham State University Athletics,http://www.fsurams.com/
124,Gordon College ,Massachusetts,Gordon Athletics - Gordon College,http://athletics.gordon.edu/
126,Lesley University ,Massachusetts,LESLEY UNIVERSITY ATHLETICS :,http://athletics.lesley.edu/
127,Mount Holyoke College ,Massachusetts,Mount Holyoke College Athletics,http://athletics.mtholyoke.edu/
129,Massachusetts College of Liberal Arts ,Massachusetts,MCLA,http://athletics.mcla.edu/
130,Massachusetts Maritime Academy ,Massachusetts,Massachusetts Maritime Academy,http://www.maritime.edu/
131,Massachusetts Institute of Technology ,Massachusetts,DAPER Home - MIT,http://web.mit.edu/daper/
132,Newbury College ,Massachusetts,Newbury College Athletics,http://www.newburynighthawks.com/
133,Nichols College ,Massachusetts,Nichols College Athletics,http://www.nicholsathletics.com/
134,Pine Manor College ,Massachusetts,Athletics | Pine Manor College,http://www.pmc.edu/athletics
135,Regis College ,Massachusetts,Regis College Athletics,http://www.goregispride.com/
136,Salem State University ,Massachusetts,Salem State Vikings Athletics,http://www.salemstatevikings.com/
137,Simmons College ,Massachusetts,Athletics | Simmons College,http://www.simmons.edu/athletics/
138,Smith College ,Massachusetts,Smith College Athletics -,http://www.smithpioneers.com/
139,Springfield College ,Massachusetts,Springfield College Athletics: Home of the Pride,http://www.spfldcol.edu/homepage/athletics.nsf/home
140,Suffolk University ,Massachusetts,Athletics - Suffolk University,http://www.suffolk.edu/athletics/
141,Tufts University ,Massachusetts,Tufts University Athletics,http://www.gotuftsjumbos.com/
142,University of Massachusetts Boston ,Massachusetts,University of Massachusetts Boston Official Athletic Site,http://www.beaconsathletics.com/
143,University of Massachusetts Dartmouth ,Massachusetts,UMass Dartmouth Official Athletic Site,http://www.corsairathletics.com/
144,Wellesley College ,Massachusetts,"Wellesley College - Athletics - Physical Education, Recreation and ...",http://web.wellesley.edu/web/Athletics
145,Wentworth Institute of Technology ,Massachusetts,Wentworth Athletics,http://www.wentworthathletics.com/
146,Western New England University ,Massachusetts,Western New England University Athletics,http://www.wnegoldenbears.com/
147,Westfield State University ,Massachusetts,Westfield State University Athletics,http://www.westfieldstateowls.com/
148,Wheaton College ,Massachusetts,Wheaton College Athletics,http://athletics.wheaton.edu/
149,Wheelock College ,Massachusetts,Wheelock College Athletics,http://www.wheelockwildcats.com/
150,Williams College ,Massachusetts,Latest News from Williams Athletics - Home of the Ephs: Williams,http://athletics.williams.edu/
152,Worcester State University ,Massachusetts,Worcester State Athletics :,http://www.wsulancers.com/
153,Adrian College ,Michigan,Adrian College - Athletics,http://www.adrianbulldogs.com/
155,Alma College ,Michigan,Alma College: Athletics,http://www.alma.edu/athletics/
156,Calvin College ,Michigan,Calvin College - Sports Information,http://www.calvin.edu/sports/
157,Finlandia University ,Michigan,Finlandia University Athletics,http://www.fulions.com/
158,Hope College ,Michigan,Hope College | Athletics,http://www.hope.edu/athletics/
159,Kalamazoo College ,Michigan,Official Site of Kalamazoo College Athletics,http://www.kzoo.edu/sports/
160,Olivet College ,Michigan,Olivet College Athletics,http://www.olivetcollege.edu/athletics/
162,Bethany Lutheran College,Minnesota,"Athletics | Bethany Lutheran College, Mankato, MN",http://www.blc.edu/athletics
163,Bethel University,Minnesota,Bethel University Athletics,http://athletics.bethel.edu/
164,Carleton College,Minnesota,Carleton College: Varsity Athletics,http://www.carleton.edu/athletics/
165,Concordia College,Minnesota,"Concordia College, Moorhead, Minn. - Athletics Home",http://www.cord.edu/Athletics/index.php
166,Crown College,Minnesota,"Storm Athletics - Crown College, a Private Christian College in ...",http://www.stormathletics.com/
167,Gustavus Adolphus College,Minnesota,Athletics,https://gustavus.edu/athletics/
169,Macalester College,Minnesota,Macalester College Athletics,http://athletics.macalester.edu/
171,University of Minnesota Morris,Minnesota,University of Minnesota Morris,http://ummcougars.org/
172,North Central University,Minnesota,NCUrams.com - Official Website of North Central University Athletics,http://www.ncurams.com/
173,Northwestern College,Minnesota,Northwestern College Athletics,http://www.nwceagles.com/
174,Saint Benedict's University,Minnesota,College of Saint Benedict,http://www.csbblazers.com/
175,St. Catherine University,Minnesota,St. Catherine University Athletics,http://www.stkatesathletics.com/
176,Saint John's University,Minnesota,Saint John's University Athletics,http://www.gojohnnies.com/
177,Saint Mary's University of Minnesota,Minnesota,Saint Mary's University of Minnesota,http://www.saintmaryssports.com/
178,St. Olaf College,Minnesota,St. Olaf College | Athletics,http://www.stolaf.edu/athletics/
179,The College of St. Scholastica,Minnesota,Saints Athletics at The College of St. Scholastica,http://www.csssaints.com/
180,University of St. Thomas,Minnesota,University of St. Thomas : Athletics,http://www.stthomas.edu/athletics/
182,Mississippi College ,Mississippi,Mississippi College Athletics,http://www.gochoctaws.com/
183,Rust College ,Mississippi,Bearcats Athletics - Rust College,http://www.rustcollege.edu/bearcat_athletics.html
184,Fontbonne University ,Missouri,"Athletics :: Fontbonne University, St. Louis, MO",http://www.griffinpride.com/
185,Washington University in St. Louis ,Missouri,Athletics | Bear Sports | Washington University in St. Louis,http://bearsports.wustl.edu/
186,Webster University ,Missouri,Webster University Athletics,http://www.websterathletics.com/
187,Westminster College ,Missouri,Westminster College: Athletics: Overview,http://www.westminster.edu/athletics/
188,Nebraska Wesleyan University ,Nebraska,Athletics | Nebraska Wesleyan University,http://www.nebrwesleyan.edu/athletics
189,Colby–Sawyer College,New Jersey,Colby-Sawyer College Athletics,http://www.colby-sawyerathletics.com/
190,Daniel Webster College,New Hampshire,Daniel Webster College Athletics,http://athletics.dwc.edu/
191,Keene State College,New Hampshire,Keene State College Athletics,http://keeneowls.com/
192,New England College,New Hampshire,New England College Athletics,http://athletics.nec.edu/
193,Plymouth State University,New Hampshire,Plymouth State Athletics : Welcome to Panther Athletics and Sports ...,http://athletics.plymouth.edu/
194,Rivier College,New Hampshire,Rivier College Athletics,http://www.rivierathletics.com/
195,Centenary College ,New Jersey,Centenary College: Cyclone Athletics,http://www.centenarycollege.edu/cms/en/athletics/
196,The College of New Jersey ,New Jersey,The College of New Jersey Athletics,http://www.tcnjathletics.com/
197,College of Saint Elizabeth ,New Jersey,Athletics - College of Saint Elizabeth,http://www.cse.edu/athletics/
199,"Fairleigh Dickinson University, Florham ",New Jersey,FAIRLEIGH DICKINSON AT FLORHAM,http://fdudevils.com/
201,Montclair State University ,New Jersey,Montclair State University - Athletics,http://www.montclair.edu/athletics/
202,New Jersey City University ,New Jersey,New Jersey City University Athletics,http://www.njcugothicknights.com/
203,Ramapo College ,New Jersey,Ramapo College Athletics,http://www.ramapoathletics.com/
204,Richard Stockton College of New Jersey ,New Jersey,Stockton Athletics - Stockton Athletics Home - Stockton College,http://www.stockton.edu/ospreys/
205,Rowan University ,New Jersey,Rowan Athletics,http://www.rowanathletics.com/
206,Rutgers–Camden ,New Jersey,Rutgers-Camden Athletics Department,http://athletics.camden.rutgers.edu/
208,Stevens Institute of Technology ,New Jersey,StevensDucks.com - Stevens Ducks,http://www.stevensducks.com/
209,William Paterson University ,New Jersey,William Paterson University Athletics,http://wpupioneers.com/
210,Alfred University ,New York,Alfred University Saxons,http://saxons.alfred.edu/
211,Bard College ,New York,Bard College Raptors,http://www.bardathletics.com/
212,Baruch College ,New York,Baruch Athletics,http://athletics.baruch.cuny.edu/
213,Brooklyn College ,New York,Brooklyn College Athletics,http://www.brooklyncollegeathletics.com/
214,Buffalo State College ,New York,Buffalo State College Athletics,http://www.buffalostateathletics.com/
215,Cazenovia College ,New York,Cazenovia College Athletics,http://athletics.cazenovia.edu/
216,City College of New York ,New York,The City College of New York Athletics,http://www.ccnyathletics.com/
217,Clarkson University ,New York,Clarkson Athletics,http://www.clarksonathletics.com/
218,D'Youville College ,New York,D'Youville College Athletics - Home of the Spartans,http://www.dyc.edu/athletics/index.asp
219,Elmira College ,New York,Elmira College : Athletics,http://www.elmira.edu/athletics
220,Farmingdale State College ,New York,Farmingdale State Athletics,http://www.farmingdalesports.com/
221,Hamilton College ,New York,Hamilton College - Athletics - Home,http://www.hamilton.edu/athletics
222,Hartwick College ,New York,Athletics - Hartwick,http://www.hartwick.edu/athletics
223,Hilbert College ,New York,Athletics - Hilbert College,http://www.hilbert.edu/athletics
224,Hobart College ,New York,Hobart and William Smith Colleges Athletics,http://www.hwsathletics.com/
225,Hunter College ,New York,Hunter College Athletics,http://www.huntercollegeathletics.com/
226,Ithaca College ,New York,Ithaca College Athletics,http://bombers.ithaca.edu/
227,John Jay College of Criminal Justice ,New York,John Jay College Athletics,http://www.johnjayathletics.com/
228,Keuka College ,New York,Keuka College Athletics,http://keukastorm.com/
229,Lehman College ,New York,Lehman College Athletics,http://www.lehmanathletics.com/
230,Manhattanville College ,New York,Manhattanville College Athletics,http://www.govaliants.com/
231,Medaille College ,New York,Medaille Mavericks Athletics,http://www.medaillesports.com/
232,Medgar Evers College ,New York,Medgar Evers College Athletics,http://www.mecathletics.com/
233,United States Merchant Marine Academy ,New York,USMMA,http://www.usmmasports.com/
234,Mount Saint Mary College ,New York,Mount Saint Mary College Athletics,http://msmcknights.com/
235,College of Mount Saint Vincent ,New York,College of Mount Saint Vincent Athletics,http://www.cmsvathletics.com/
236,Nazareth College ,New York,Nazareth College Athletics,http://athletics.naz.edu/
237,College of New Rochelle ,New York,Athletics - The College of New Rochelle,http://www.cnr.edu/Athletics/Athletics
238,New York City College of Technology ,New York,City Tech - Athletics ... - New York City College of Technology - CUNY,http://www.citytech.cuny.edu/students/athletics/
239,New York University ,New York,NYU Athletics,http://www.gonyuathletics.com/
